Iteration,Score,Parameter Values
10,0.483889984584444,"[-0.07145093  0.01487364 -0.02768595  0.06281911 -0.03829846  0.0484964
 -0.11619774  0.04386702 -0.06052438  0.03813696 -0.07398826 -0.03799095
  0.03944579  0.01042011  0.01767848  0.01893951 -0.07574056 -0.02714922
  0.04639881  0.04476226  0.05725556 -0.00697727  0.03314973 -0.01088833
  0.03163755 -0.01402505  0.08212558  0.01527844 -0.03895076  0.04509614
 -0.0234245  -0.03760538 -0.03063047 -0.00763868  0.03095782  0.04255435
 -0.04764291 -0.0718766  -0.010703   -0.00481101 -0.03575279 -0.00418378
 -0.05127213 -0.03499158  0.01165996 -0.07040044  0.02172433  0.00202809
 -0.05123263  0.00068699  0.01891933 -0.00337665 -0.00585359 -0.05139297
 -0.00834897  0.03970031  0.05653089  0.0227678   0.05117003]"
11,0.4871571550530571,"[1.56275276 1.55045481 1.56272106 1.62529752 1.55300081 1.622455
 1.53017978 1.55582021 1.57822534 1.61728699 1.55553037 1.49604977
 1.55167291 1.64034643 1.60785866 1.53441589 1.52875866 1.5372065
 1.59501835 1.50731205 1.52188265 1.61153459 1.56886344 1.60132675
 1.55239102 1.56653702 1.65074136 1.60013347 1.61781134 1.51875639
 1.50378582 1.6066382  1.59719142 1.61756817 1.59691165 1.62974664
 1.59081041 1.67105377 1.55061903 1.5209971  1.54557814 1.65099932
 1.59333059 1.58526877 1.59001598 1.54504471 1.5938342  1.50107731
 1.60905783 1.64852392 1.59563933 1.54311187 1.5063536  1.64623727
 1.64353094 1.62703292 1.56211913 1.51886619 1.61538787]"
12,0.48375943846213565,"[-0.07073337  0.00768762 -0.05578538  0.08013245 -0.00858837  0.05754625
 -0.16152334  0.06647666 -0.04094112  0.05085106 -0.07974564 -0.06032685
  0.01460884  0.01900835  0.04884     0.03521878 -0.068689   -0.02508885
  0.07050717  0.03269637  0.12042122 -0.03122406  0.04688393  0.02548095
 -0.00182306 -0.04569051  0.08043142 -0.00316411 -0.05446437  0.03566358
 -0.03339247 -0.02551591 -0.05886568 -0.04443034  0.04515622  0.05910333
 -0.03221457 -0.06476204  0.02663519  0.01072308 -0.05022654  0.01364674
 -0.00890878 -0.04602415  0.01888831 -0.085079    0.06069079 -0.02271419
 -0.02740065 -0.00561763  0.05016778  0.0119676  -0.03260512 -0.04669
 -0.05463136  0.0502003   0.05145273  0.05645383  0.06715391]"
13,0.4838918332321736,"[1.60084122 1.55794183 1.5666547  1.65405334 1.5641005  1.62051489
 1.54092789 1.55224027 1.56706871 1.64959816 1.58829284 1.47133875
 1.58347253 1.64718087 1.61828217 1.52481845 1.55055893 1.54194694
 1.62031095 1.5250521  1.51039027 1.62547414 1.55389561 1.59540715
 1.53768558 1.56574921 1.66896673 1.55795484 1.65593332 1.5325707
 1.4164775  1.60515559 1.5840897  1.61688344 1.57495919 1.64910892
 1.55652901 1.69776629 1.55592691 1.49291739 1.57425266 1.64386033
 1.60777561 1.61299571 1.56022572 1.5370847  1.58923512 1.50228165
 1.61252717 1.67976922 1.60276356 1.57114914 1.51227728 1.68009811
 1.65701747 1.63796141 1.57863219 1.49949123 1.62444451]"
14,0.483661997097439,"[-0.07255258  0.03247588 -0.05436373  0.06976948 -0.03610773  0.07456619
 -0.12003585  0.02445213  0.02585561  0.03465139 -0.0938667  -0.06008471
  0.09345815 -0.01423667  0.10552268  0.1061786  -0.09086312 -0.01805136
  0.04947362  0.0279942   0.06048411 -0.00243819  0.01026616 -0.07445719
 -0.0557053  -0.04035988  0.06438544  0.00711514  0.00416857  0.05292325
 -0.06078131  0.0192704   0.03349843 -0.03511905  0.04393411  0.11828165
  0.00161565 -0.0863515  -0.01029746  0.01262977 -0.00856309 -0.01751693
 -0.11967313 -0.01785682 -0.03026229 -0.11920445 -0.00225953  0.04569003
  0.04500425  0.03934519  0.0090912  -0.06798237  0.05842863 -0.07738707
 -0.10249393 -0.01733949  0.01860717  0.02484932  0.02155276]"
15,0.4839164383895794,"[1.57816695 1.56501796 1.47696259 1.59796727 1.52230765 1.60560656
 1.52189267 1.66855446 1.60882059 1.6188928  1.56185473 1.52201334
 1.59456141 1.63685118 1.63188622 1.53192621 1.46944433 1.52968944
 1.6957717  1.53994012 1.5239063  1.60760332 1.63418077 1.56051295
 1.61480701 1.64202235 1.64221655 1.66001634 1.66406711 1.57184211
 1.48834165 1.63775977 1.58177332 1.63328305 1.65667017 1.70111333
 1.57520986 1.71098589 1.59188063 1.57402721 1.54906319 1.60423142
 1.63638459 1.63753992 1.57651275 1.51102483 1.58705506 1.46354285
 1.68473008 1.68989995 1.64363847 1.53185326 1.54518389 1.6492051
 1.69536913 1.65781282 1.63684678 1.53491552 1.67677041]"
16,0.4839900472067265,"[ 0.00476996  0.04526062  0.04760238  0.17329116  0.01023045 -0.02927736
 -0.63935775  0.19488765 -0.30566371  0.38653881 -0.0104482  -0.22646105
 -0.20339738 -0.07410937 -0.34617494 -0.26443248 -0.15964414 -0.10275296
  0.09756722 -0.28964825  0.13891289 -0.08104847 -0.0204964   0.10480909
  0.21673295  0.13118932  0.37423146  0.23391315 -0.33991547 -0.241488
  0.00522162 -0.24267246 -0.48797776  0.05946499  0.48930238 -0.10810762
  0.03489058 -0.13281411  0.1687332   0.25724733 -0.0411615   0.13960762
  0.42273393 -0.13255425 -0.1287592  -0.15206249  0.1235612   0.05959076
 -0.04713989  0.02911289 -0.18097723  0.36234553 -0.22269694  0.12780294
  0.16203582  0.15258266  0.12839863 -0.11121746  0.13551499]"
17,0.48713423570567566,"[1.61980837 1.29806723 1.78614324 1.471136   1.69995437 1.43068231
 1.49676096 1.55827783 1.47855511 1.86550696 1.24868538 1.16325529
 2.01679059 1.79271438 1.83448401 1.36852847 1.88323503 1.64117672
 1.09849573 1.33581837 1.51005359 1.92350856 1.40968589 1.55565216
 1.53575857 1.28270674 2.07249764 1.58144606 1.77937826 1.48094826
 1.15565095 1.98328716 1.43382861 1.77254289 1.48317763 1.26721635
 1.57181775 1.46356028 1.53743496 1.23950215 1.44465391 1.8576069
 1.70516543 1.72319963 1.70236436 1.55028283 1.4887541  1.51067668
 1.89322286 1.68299364 1.54828711 1.46283427 1.35918962 1.85293953
 1.56296124 1.99422132 1.22187072 1.44767492 1.43689282]"
18,0.4839420530274446,"[-0.05527663  0.10524672 -0.03033602  0.05588278  0.0371128   0.07552044
 -0.1317144  -0.02376643  0.13643191 -0.01725714 -0.06452893 -0.02437644
  0.05422247 -0.11991016  0.20039202  0.12717367 -0.05207714 -0.0471252
  0.10201208  0.08664258  0.21329413 -0.1003759  -0.08780962 -0.12924675
 -0.21949422 -0.09645934  0.18888557 -0.08051558 -0.03292317  0.03756013
 -0.14233449 -0.03799554  0.11428077 -0.03166191  0.02996863  0.28694381
 -0.07991828 -0.06627885  0.077899   -0.00944035  0.02444759  0.00305387
 -0.1714355   0.04176527 -0.0697355  -0.1885849  -0.00213778  0.09191749
  0.00950695 -0.01429404  0.08415502 -0.06093366  0.0329541  -0.08145835
 -0.05218356 -0.05442288  0.07179511  0.08469369  0.12600003]"
19,0.4877651585859798,"[1.62962463 1.62959937 1.42470478 1.65151546 1.44484406 1.71537269
 1.52744782 1.696614   1.53241486 1.61640286 1.56507558 1.55652706
 1.6174092  1.62914221 1.74757507 1.45804387 1.47233108 1.41319088
 1.78289542 1.53915138 1.58958519 1.59815904 1.58395537 1.57129221
 1.66436942 1.62050774 1.63781195 1.78674019 1.73877999 1.45973483
 1.48937654 1.64497327 1.57819315 1.56995667 1.6938176  1.81436233
 1.43839996 1.77440898 1.6528271  1.55993858 1.57868965 1.65576764
 1.64480724 1.71878624 1.51797818 1.55424512 1.6556859  1.39005189
 1.65520307 1.73586193 1.66002787 1.57237815 1.59007559 1.67121656
 1.77129882 1.57220955 1.65962263 1.60583573 1.75964146]"
20,0.48357733588537044,"[-0.09843341  0.07417281 -0.07494886  0.12349867  0.00263742  0.20835508
 -0.15323408  0.02417024  0.12127344  0.03001505 -0.11298639 -0.0279827
  0.08923828 -0.14086997  0.10916911  0.13657315 -0.05052341  0.10059353
  0.03331924  0.06317855  0.18059549 -0.10784215 -0.03607336 -0.1030045
 -0.20536984 -0.0336333   0.19927579 -0.05311271  0.04232601  0.13090365
 -0.17165742 -0.04463747  0.03384083 -0.00928203  0.04343616  0.26070612
 -0.0567493  -0.01255027  0.06632265 -0.01156498  0.00154462 -0.00593015
 -0.15483516  0.00792064 -0.07659143 -0.14868791  0.07608984  0.06535319
  0.01869931 -0.03664676  0.14611649 -0.01702135 -0.05960935 -0.0336964
 -0.09807712 -0.06993379 -0.03721428  0.11316423  0.1097313 ]"
21,0.48734752647163576,"[1.66016906 1.5595053  1.50589703 1.63421164 1.47159328 1.68739026
 1.43097277 1.72793039 1.63720173 1.5982334  1.53007946 1.52764631
 1.65471162 1.68382317 1.63431089 1.596716   1.61785017 1.48413573
 1.77983406 1.50327988 1.67346263 1.61398693 1.59033022 1.54403723
 1.6345295  1.60444099 1.71983237 1.74341538 1.72021556 1.55063916
 1.48430174 1.66535902 1.63331271 1.53164308 1.72492338 1.76641265
 1.43864161 1.80436914 1.66713707 1.47909422 1.61058806 1.6343158
 1.7192107  1.76485249 1.56122776 1.55839358 1.69911557 1.46376119
 1.71811205 1.6683721  1.70339925 1.53897194 1.62450588 1.71365101
 1.73694577 1.62028288 1.63340647 1.53862786 1.76432091]"
22,0.48263669918227275,"[-0.17351949  0.36811473  0.03012212  0.1875029  -0.01030418 -0.00647664
 -0.42808796 -0.19253842 -0.06442311  0.34429924  0.30053849  0.27209971
 -0.34613387 -0.19380893 -0.8114048  -0.25696395  0.3128283  -0.17309968
  0.00739335 -0.05495846  0.29182147 -0.14777204 -0.50363342 -0.01939283
  0.03780583  0.23597889  0.3820548   0.00520175 -0.40302004  0.06139361
 -0.6235065  -0.48567183 -0.55154844  0.70400459  0.15409009  0.33748848
  0.1369026  -0.03831699  0.56888311 -0.64467726 -0.38001165 -0.00946005
  0.44063238  0.37426669 -0.45651958 -0.11752089  0.15913787  0.16642251
 -0.1080652  -0.23731551  0.67933062 -0.02755688  0.10565688  0.29091949
  0.22904859 -0.040035    0.57246143  0.22600216  0.15730075]"
23,0.4824953837285035,"[1.85829143 1.12028268 1.52133918 1.89895666 1.65625776 1.73946238
 1.27867749 1.73908319 1.495494   1.53983476 0.97080246 1.72009485
 1.72671    1.49771825 1.67029837 1.57697909 1.47940957 1.57065336
 1.69186393 1.76718536 1.87882101 1.29999559 1.78467278 1.79365144
 1.81525999 1.16533645 1.36354395 1.70052238 1.93783825 1.0778675
 1.31923019 1.98185407 1.16465859 1.16089942 1.81682767 1.55218454
 1.16194041 1.43182459 1.80657019 2.03715998 1.77424079 1.92390601
 2.0815477  1.27634157 0.98230582 1.55665675 1.2391574  1.42181045
 1.82597218 1.86434071 1.37756903 1.79305662 1.5717239  1.95602825
 1.92335127 1.85990194 1.91746587 1.32442984 1.74187105]"
24,0.48452366035416533,"[-0.07418063  0.10170597 -0.04584226  0.13884835 -0.0611962   0.19463845
 -0.14478235  0.03076552  0.13048573  0.02223745 -0.14261552  0.00721591
  0.12154123 -0.17952797  0.12993831  0.11858319 -0.08508863  0.10148196
  0.08713173  0.07315423  0.23370749 -0.11364715 -0.0029079  -0.10879351
 -0.23206524 -0.06106767  0.19107259 -0.02591359  0.09719659  0.11473884
 -0.12435857 -0.08030747  0.02951513 -0.02221555 -0.00665566  0.29829305
 -0.04351406 -0.03146861  0.01071569  0.00070736  0.02316552 -0.04410228
 -0.19610285  0.02495236 -0.09432291 -0.17903132  0.16508545  0.10709116
 -0.00307077 -0.03064981  0.14935997 -0.03888902 -0.12675461 -0.05222992
 -0.10859898 -0.10534591 -0.01371078  0.12758773  0.11184122]"
25,0.48237584745935175,"[1.64111133 1.61284659 1.51645309 1.63957604 1.49649546 1.71581649
 1.36325509 1.72936977 1.63873433 1.56758711 1.53678737 1.55033552
 1.61408104 1.74843491 1.68805447 1.56311919 1.56769733 1.46652886
 1.77390649 1.46368585 1.63523153 1.58709107 1.60009809 1.51361089
 1.67833873 1.59571851 1.78255561 1.79116194 1.74291777 1.52874859
 1.54213002 1.66419346 1.63368076 1.54741131 1.67803224 1.73815893
 1.40658173 1.82729767 1.63632684 1.49057762 1.56945481 1.65042736
 1.75102416 1.79011403 1.57571047 1.581046   1.7507973  1.4940498
 1.73665592 1.67715323 1.67346028 1.58470411 1.60288726 1.73617974
 1.72917043 1.61347362 1.57910834 1.54349922 1.77387124]"
26,0.48241374358097355,"[-0.06441699  0.10019049 -0.05249316  0.09836651 -0.07504314  0.17191486
 -0.17067647  0.06607638  0.11985496  0.02871044 -0.1875275   0.01002494
  0.12128506 -0.21236808  0.13738967  0.10085915 -0.10833917  0.07126324
  0.1138626   0.06747229  0.29634987 -0.13049334  0.00149191 -0.10178759
 -0.23590089 -0.06878088  0.16292748 -0.02253762  0.09193702  0.14682795
 -0.11876059 -0.09124863  0.01089276 -0.05665016 -0.03153565  0.30932447
 -0.01498405 -0.02077526  0.01648454 -0.01266347  0.04851164 -0.02316341
 -0.19703399  0.02376571 -0.06852266 -0.19574114  0.18772762  0.13313522
  0.0051269  -0.06376493  0.14854507 -0.01661512 -0.12780401 -0.05598142
 -0.06642404 -0.1244264  -0.02073381  0.14351617  0.11291211]"
27,0.48330484727458556,"[1.63921471 1.64603774 1.50878724 1.63702658 1.5040213  1.73939582
 1.35675664 1.73145398 1.60542866 1.55670455 1.49290681 1.51620142
 1.62006088 1.75494449 1.72170813 1.52366461 1.54855566 1.45182445
 1.72511302 1.48793414 1.64495986 1.59806484 1.63524291 1.48960966
 1.66841858 1.59649574 1.771263   1.80835075 1.75407001 1.53245429
 1.53334996 1.66716852 1.60980085 1.5548721  1.65857032 1.74037032
 1.3901676  1.81594195 1.61893701 1.5028509  1.55481364 1.6613674
 1.75177264 1.80734253 1.55616681 1.61396807 1.75062753 1.49415299
 1.75719339 1.68941748 1.67303803 1.5927303  1.60342209 1.76521688
 1.76033714 1.63068979 1.58261048 1.52404687 1.79748365]"
28,0.4824578970741815,"[-0.1180683   0.06646678 -0.02537111  0.13530549 -0.05666955  0.25664811
 -0.16691518  0.03392372  0.18835076 -0.00623607 -0.15771644  0.01728311
  0.12740303 -0.19305833  0.10686131  0.13227774 -0.07713146  0.08946333
  0.12434448  0.06749203  0.18093016 -0.10826656 -0.01932811 -0.10994832
 -0.27041406 -0.06841831  0.19590648 -0.04224503  0.08465492  0.08941579
 -0.13170703 -0.10462458  0.02667555 -0.0146883   0.0456075   0.28654603
 -0.0054745  -0.01959474  0.0425018   0.0201891  -0.02874645 -0.08266328
 -0.18645344  0.05678482 -0.13267495 -0.10736548  0.19935491  0.07458504
 -0.01417917 -0.03316383  0.15882386 -0.02892729 -0.06331287 -0.02837316
 -0.10127181 -0.09009767 -0.02033789  0.10944684  0.12730755]"
29,0.4824021770362711,"[1.61204705 1.60235639 1.54042066 1.67771091 1.55623092 1.65986061
 1.3647179  1.75573741 1.68237621 1.57858397 1.52384139 1.49342141
 1.67241467 1.7912749  1.66513084 1.54112021 1.63729591 1.480474
 1.74469505 1.44281226 1.59303873 1.66671201 1.60819286 1.50417436
 1.66687999 1.62962658 1.68474186 1.81152616 1.74155732 1.58435691
 1.47284975 1.70558892 1.58499324 1.61043421 1.71132693 1.76712778
 1.3908642  1.84680011 1.60986555 1.480108   1.53847548 1.69805709
 1.75665793 1.80710257 1.58085638 1.56850355 1.81899672 1.51367373
 1.74751057 1.60996732 1.64121582 1.53117698 1.6444569  1.78819947
 1.7465477  1.62170939 1.57685958 1.58276659 1.7545094 ]"
30,0.4821872109593437,"[-0.15993964  0.0805596   0.02416551  0.23128679 -0.1104859   0.28517232
 -0.1765339   0.03477049  0.21082452 -0.00378266 -0.02048095  0.15745862
  0.05819678 -0.21355556  0.20269528  0.20429739 -0.00638047  0.15542334
  0.06552719 -0.0629458   0.17442136 -0.05561324 -0.01133615 -0.0419137
 -0.25543567  0.02704334  0.28186369 -0.17863809  0.11015176  0.13864871
 -0.20040445 -0.13725513  0.01483288 -0.0087548   0.01734876  0.39588419
  0.07766303 -0.03795571  0.13391739  0.05771901 -0.03783142 -0.11030496
 -0.22683632  0.02747031 -0.0336154  -0.15725161  0.30037082  0.02329491
 -0.03550959  0.05640653  0.20448451 -0.03509466 -0.07770977  0.06742604
 -0.12633184 -0.01545025 -0.03484688  0.10550071  0.23608032]"
31,0.4828478826113431,"[1.62276042 1.55303785 1.52298999 1.66627478 1.53674888 1.59079049
 1.44676476 1.72249576 1.71506585 1.61344968 1.51368857 1.49059384
 1.59991464 1.80497261 1.66368652 1.58167717 1.60908361 1.44657542
 1.78693788 1.51274473 1.56616158 1.62059755 1.57155073 1.44400541
 1.69344697 1.57392274 1.67008695 1.93384624 1.68021896 1.53525792
 1.4435613  1.68007554 1.70275261 1.67698058 1.71838939 1.73390474
 1.4413563  1.89499187 1.69938915 1.47665454 1.53564155 1.67986318
 1.78397056 1.77866405 1.67160574 1.45161283 1.8007879  1.56894634
 1.6584475  1.65004506 1.56350923 1.45233053 1.73775198 1.61606263
 1.7083581  1.53496707 1.58490173 1.66595958 1.76714723]"
32,0.48127175123095656,"[-0.11684217  0.07675171  0.00648554  0.11149853 -0.06925123  0.21298189
 -0.18401671  0.03986725  0.20191564 -0.01702025 -0.15313601  0.0070399
  0.12903346 -0.23717283  0.09010883  0.12505899 -0.07234683  0.09802409
  0.13242984  0.05171445  0.20476068 -0.11165268 -0.02889572 -0.12461201
 -0.27829556 -0.06307976  0.15595245 -0.05790746  0.07670067  0.07806263
 -0.20387274 -0.07142765 -0.00072446 -0.02522671  0.02715081  0.30033257
  0.07507112 -0.02687427  0.06415138  0.0468905  -0.06577699 -0.06665884
 -0.18651875  0.03403401 -0.11976896 -0.11032478  0.21805598  0.07464024
 -0.03220284 -0.01162655  0.17590595  0.00728707 -0.05532632 -0.00774965
 -0.08467485 -0.07635756 -0.02468841  0.11481715  0.1180571 ]"
33,0.48107946518090106,"[1.57553319 1.60768145 1.53925301 1.6660298  1.54863131 1.6930133
 1.37836736 1.74953317 1.69544903 1.57811653 1.49647527 1.47276082
 1.68830607 1.82969138 1.68583668 1.53118058 1.63827091 1.44180549
 1.7204396  1.46276551 1.55741331 1.65802478 1.61155761 1.47694874
 1.68820851 1.62531159 1.64476225 1.83221984 1.74942511 1.55481814
 1.42273145 1.68834283 1.59672276 1.65213309 1.71311389 1.753751
 1.3769284  1.83268492 1.62031286 1.49767654 1.57958565 1.72997967
 1.76803498 1.80627636 1.55934316 1.55859511 1.81544993 1.48981034
 1.69759018 1.59494184 1.60087812 1.50790124 1.71270542 1.79039677
 1.74162779 1.61111958 1.55742237 1.60545589 1.77142334]"
